x,y,x2,y2,orientation
58,250,57,450,inversed
58,250,61,0,inversed
38,250,41,0,same orientation
3,250,10,450,same orientation
3,250,11,0,same orientation
24,250,27,0,same orientation
73,250,45,0,inversed
73,250,42,450,inversed
44,250,75,0,inversed
44,250,71,450,inversed
11,250,3,450,inversed
11,250,4,0,inversed
26,250,30,450,inversed
37,250,19,450,inversed
55,250,64,0,inversed
55,250,60,450,inversed
35,250,38,0,same orientation
62,250,53,450,inversed
62,250,57,0,inversed
29,250,32,0,same orientation
49,250,66,450,inversed
49,250,70,0,inversed
52,250,63,450,same orientation
52,250,67,0,same orientation
32,250,24,450,inversed
30,250,33,0,same orientation
67,250,48,450,inversed
67,250,52,0,inversed
50,250,69,0,inversed
50,250,65,450,inversed
19,250,37,450,inversed
6,250,8,450,inversed
6,250,9,0,inversed
41,250,15,450,inversed
16,250,18,0,same orientation
21,250,24,0,same orientation
76,250,73,450,inversed
76,250,72,450,inversed
76,250,77,0,inversed
76,250,76,0,inversed
23,250,33,450,inversed
14,250,1,0,inversed
14,250,1,450,inversed
46,250,73,0,inversed
46,250,69,450,inversed
71,250,44,450,inversed
71,250,47,0,inversed
26,250,29,0,same orientation
24,250,32,450,inversed
13,250,2,0,inversed
13,250,2,450,inversed
13,250,1,450,inversed
38,250,18,450,inversed
1,250,14,0,inversed
1,250,13,450,inversed
29,250,27,450,inversed
49,250,70,0,same orientation
35,250,21,450,inversed
60,250,59,0,inversed
60,250,55,450,inversed
37,250,40,0,same orientation
57,250,58,450,inversed
57,250,62,0,inversed
19,250,21,0,same orientation
30,250,26,450,inversed
52,250,63,450,inversed
52,250,67,0,inversed
65,250,50,450,inversed
65,250,54,0,inversed
32,250,35,0,same orientation
9,250,6,0,inversed
9,250,5,450,inversed
74,250,41,450,inversed
74,250,44,0,inversed
23,250,26,0,same orientation
43,250,72,450,inversed
43,250,76,0,inversed
41,250,44,0,same orientation
16,250,40,450,inversed
21,250,35,450,inversed
68,250,47,450,inversed
68,250,51,0,inversed
4,250,12,0,same orientation
4,250,11,450,same orientation
33,250,23,450,inversed
66,250,49,450,inversed
66,250,53,0,inversed
31,250,34,0,same orientation
51,250,68,0,inversed
51,250,64,450,inversed
18,250,38,450,inversed
7,250,7,450,inversed
7,250,8,0,inversed
17,250,19,0,same orientation
40,250,16,450,inversed
20,250,22,0,same orientation
22,250,34,450,inversed
75,250,74,450,same orientation
75,250,78,0,same orientation
15,250,41,450,inversed
2,250,12,450,inversed
2,250,13,0,inversed
59,250,60,0,inversed
59,250,56,450,inversed
39,250,42,0,same orientation
39,250,78,0,same orientation
72,250,43,450,inversed
72,250,47,0,inversed
25,250,28,0,same orientation
45,250,70,450,inversed
45,250,74,0,inversed
10,250,4,450,inversed
10,250,5,0,inversed
27,250,29,450,inversed
36,250,20,450,inversed
54,250,61,450,inversed
54,250,65,0,inversed
63,250,56,0,inversed
63,250,52,450,inversed
34,250,37,0,same orientation
28,250,31,0,same orientation
48,250,67,450,inversed
48,250,71,0,inversed
18,250,20,0,same orientation
8,250,6,450,inversed
8,250,7,0,inversed
31,250,25,450,inversed
53,250,62,450,inversed
53,250,66,0,inversed
33,250,36,0,same orientation
64,250,51,450,inversed
64,250,55,0,inversed
22,250,25,0,same orientation
42,250,73,450,inversed
42,250,77,0,inversed
15,250,17,0,same orientation
17,250,39,450,inversed
40,250,43,0,same orientation
20,250,36,450,inversed
69,250,46,450,inversed
69,250,50,0,inversed
5,250,9,450,inversed
5,250,10,0,inversed
47,250,68,450,inversed
47,250,72,0,inversed
27,250,30,0,same orientation
70,250,45,450,inversed
70,250,49,0,inversed
25,250,31,450,inversed
12,250,2,450,inversed
12,250,3,0,inversed
39,250,17,450,inversed
28,250,28,450,inversed
0,250,0,0,inversed
0,250,0,450,inversed
34,250,22,450,inversed
36,250,39,0,same orientation
61,250,54,450,inversed
61,250,58,0,inversed
56,250,59,450,inversed
56,250,63,0,inversed
