x,y,x2,y2,orientation
13,250,14,0,same orientation
13,250,13,450,same orientation
24,250,25,0,same orientation
24,250,24,450,same orientation
26,250,26,450,inversed
35,250,33,450,same orientation
35,250,35,0,same orientation
7,250,8,0,same orientation
7,250,7,450,same orientation
29,250,31,0,same orientation
2,250,2,450,same orientation
2,250,3,0,same orientation
32,250,32,450,inversed
32,250,34,0,inversed
30,250,30,450,same orientation
30,250,32,0,same orientation
19,250,20,0,inversed
21,250,21,450,same orientation
21,250,22,0,same orientation
16,250,16,450,same orientation
16,250,17,0,same orientation
26,250,28,0,same orientation
11,250,11,450,same orientation
11,250,12,0,same orientation
8,250,8,450,same orientation
8,250,9,0,same orientation
29,250,29,450,inversed
5,250,6,0,inversed
5,250,6,0,same orientation
5,250,5,450,same orientation
19,250,19,450,same orientation
19,250,20,0,same orientation
14,250,14,450,same orientation
14,250,15,0,same orientation
23,250,23,450,same orientation
23,250,24,0,same orientation
31,250,31,450,same orientation
31,250,33,0,same orientation
3,250,4,0,same orientation
3,250,3,450,same orientation
18,250,18,450,inversed
18,250,19,0,inversed
20,250,20,450,same orientation
20,250,21,0,same orientation
17,250,18,0,same orientation
17,250,17,450,same orientation
22,250,23,0,inversed
12,250,12,450,same orientation
12,250,13,0,same orientation
25,250,27,0,same orientation
27,250,28,450,inversed
6,250,7,0,same orientation
6,250,6,450,same orientation
34,250,21,0,same orientation
34,250,19,450,same orientation
28,250,30,0,same orientation
18,250,18,450,same orientation
18,250,19,0,same orientation
33,250,33,450,same orientation
33,250,34,0,same orientation
1,250,2,0,same orientation
1,250,1,450,same orientation
15,250,16,0,same orientation
15,250,15,450,same orientation
22,250,22,450,same orientation
22,250,23,0,same orientation
27,250,29,0,same orientation
10,250,10,450,same orientation
10,250,11,0,same orientation
25,250,25,450,inversed
9,250,9,450,same orientation
9,250,10,0,same orientation
28,250,27,450,inversed
4,250,4,450,same orientation
4,250,5,0,same orientation
