x,y,x2,y2,orientation
91,250,84,450,same orientation
184,250,188,0,same orientation
59,250,73,0,inversed
186,250,190,450,inversed
119,250,118,450,same orientation
119,250,122,0,same orientation
179,250,142,450,inversed
227,250,17,0,inversed
227,250,120,450,inversed
227,250,15,450,inversed
227,250,13,450,inversed
91,250,104,0,inversed
59,250,61,450,same orientation
212,250,206,450,same orientation
212,250,216,0,same orientation
212,250,229,0,same orientation
225,250,218,450,same orientation
225,250,228,0,same orientation
198,250,202,0,same orientation
27,250,38,0,inversed
3,250,2,450,inversed
72,250,60,0,inversed
45,250,42,0,inversed
10,250,9,450,same orientation
10,250,10,0,same orientation
27,250,33,450,same orientation
165,250,148,0,inversed
132,250,135,0,same orientation
105,250,107,0,same orientation
152,250,161,0,inversed
72,250,73,450,same orientation
7,250,6,450,same orientation
7,250,7,0,same orientation
45,250,29,450,same orientation
150,250,162,450,same orientation
107,250,110,0,inversed
130,250,132,450,inversed
167,250,134,450,same orientation
121,250,110,450,inversed
121,250,115,0,inversed
176,250,180,0,same orientation
141,250,153,450,same orientation
54,250,56,450,same orientation
63,250,65,450,same orientation
114,250,117,0,same orientation
114,250,113,450,same orientation
143,250,170,0,inversed
174,250,147,450,inversed
54,250,78,0,inversed
63,250,69,0,inversed
36,250,26,450,inversed
36,250,29,0,inversed
189,250,193,0,same orientation
203,250,207,0,same orientation
48,250,50,450,same orientation
201,250,197,450,inversed
80,250,52,0,inversed
168,250,145,0,inversed
108,250,103,450,same orientation
197,250,179,450,inversed
48,250,84,0,inversed
195,250,199,0,same orientation
80,250,81,450,same orientation
66,250,66,0,inversed
51,250,81,0,inversed
99,250,92,450,same orientation
33,250,39,450,inversed
66,250,68,450,same orientation
51,250,53,450,same orientation
144,250,156,450,same orientation
173,250,176,0,same orientation
173,250,177,0,same orientation
33,250,32,0,same orientation
99,250,96,0,inversed
171,250,142,0,inversed
126,250,122,450,same orientation
126,250,129,0,same orientation
111,250,120,450,same orientation
111,250,126,0,same orientation
146,250,167,0,inversed
192,250,184,450,inversed
85,250,99,450,same orientation
18,250,19,0,inversed
190,250,194,0,same orientation
138,250,175,0,inversed
158,250,170,450,same orientation
206,250,210,0,same orientation
85,250,88,0,inversed
204,250,208,0,inversed
204,250,198,450,inversed
18,250,19,0,same orientation
18,250,17,450,same orientation
222,250,214,450,inversed
94,250,101,0,inversed
220,250,224,0,same orientation
217,250,211,450,same orientation
217,250,221,0,same orientation
149,250,161,450,same orientation
181,250,185,0,same orientation
94,250,87,450,same orientation
183,250,193,450,inversed
100,250,93,450,same orientation
157,250,156,0,inversed
160,250,153,0,inversed
137,250,149,450,same orientation
22,250,23,0,same orientation
22,250,21,450,same orientation
88,250,89,0,inversed
15,250,16,0,same orientation
135,250,127,450,inversed
162,250,173,450,same orientation
155,250,167,450,same orientation
102,250,93,0,inversed
40,250,45,450,same orientation
40,250,47,0,same orientation
2,250,2,450,same orientation
77,250,78,450,same orientation
88,250,98,450,same orientation
15,250,14,450,inversed
40,250,47,0,inversed
40,250,45,450,inversed
77,250,54,0,inversed
25,250,40,0,inversed
198,250,178,450,inversed
47,250,85,0,inversed
70,250,62,0,inversed
25,250,31,450,same orientation
12,250,12,0,same orientation
12,250,11,450,same orientation
150,250,163,0,inversed
107,250,102,450,same orientation
130,250,133,0,same orientation
167,250,146,0,inversed
47,250,49,450,same orientation
5,250,5,0,same orientation
70,250,72,450,same orientation
70,250,71,450,same orientation
165,250,176,450,same orientation
132,250,130,450,inversed
105,250,106,450,inversed
152,250,164,450,same orientation
0,250,0,0,inversed
0,250,0,450,inversed
39,250,48,0,inversed
93,250,102,0,same orientation
93,250,86,450,same orientation
186,250,190,0,same orientation
184,250,192,450,inversed
93,250,86,450,inversed
39,250,44,450,same orientation
179,250,183,0,same orientation
227,250,123,0,same orientation
227,250,127,0,same orientation
227,250,118,450,same orientation
227,250,128,0,same orientation
227,250,17,0,same orientation
210,250,214,0,same orientation
210,250,204,450,same orientation
8,250,7,450,same orientation
8,250,8,0,same orientation
201,250,205,0,same orientation
168,250,135,450,same orientation
108,250,109,0,inversed
82,250,50,0,inversed
28,250,34,450,same orientation
203,250,195,450,inversed
195,250,181,450,inversed
197,250,201,0,same orientation
28,250,37,0,inversed
82,250,43,450,same orientation
143,250,155,450,same orientation
174,250,178,0,same orientation
123,250,108,450,inversed
123,250,113,0,inversed
61,250,63,450,same orientation
56,250,58,450,same orientation
176,250,145,450,inversed
176,250,180,0,inversed
141,250,172,0,inversed
116,250,119,0,same orientation
116,250,115,450,same orientation
34,250,40,450,same orientation
61,250,71,0,inversed
56,250,76,0,inversed
189,250,187,450,inversed
189,250,20,0,inversed
34,250,31,0,inversed
78,250,53,0,inversed
9,250,8,450,inversed
190,250,186,450,inversed
87,250,101,450,same orientation
192,250,196,0,same orientation
78,250,79,450,same orientation
204,250,198,450,same orientation
204,250,208,0,same orientation
138,250,150,450,same orientation
158,250,155,0,inversed
206,250,200,450,inversed
87,250,86,0,inversed
53,250,79,0,inversed
64,250,68,0,inversed
64,250,66,450,inversed
31,250,34,0,inversed
53,250,55,450,same orientation
53,250,91,0,same orientation
218,250,212,450,same orientation
218,250,222,0,same orientation
64,250,66,450,same orientation
64,250,68,0,same orientation
171,250,138,450,same orientation
146,250,158,450,same orientation
31,250,37,450,same orientation
144,250,169,0,inversed
113,250,112,450,same orientation
113,250,116,0,same orientation
173,250,148,450,inversed
162,250,151,0,inversed
155,250,158,0,inversed
102,250,94,450,same orientation
17,250,16,450,same orientation
17,250,18,0,same orientation
20,250,19,450,same orientation
20,250,21,0,same orientation
100,250,95,0,inversed
157,250,169,450,same orientation
160,250,171,450,same orientation
137,250,176,0,inversed
75,250,76,450,same orientation
209,250,203,450,same orientation
209,250,213,0,same orientation
42,250,47,450,same orientation
75,250,56,0,inversed
42,250,45,0,inversed
220,250,216,450,inversed
96,250,99,0,inversed
149,250,164,0,inversed
129,250,125,450,same orientation
129,250,132,0,same orientation
215,250,209,450,same orientation
215,250,219,0,same orientation
222,250,226,0,same orientation
69,250,71,450,same orientation
183,250,187,0,same orientation
96,250,89,450,same orientation
181,250,140,450,inversed
69,250,63,0,inversed
67,250,69,450,same orientation
50,250,52,450,same orientation
112,250,127,0,inversed
112,250,120,450,inversed
145,250,157,450,same orientation
172,250,139,450,same orientation
219,250,213,450,inversed
98,250,97,0,inversed
32,250,38,450,same orientation
127,250,123,450,same orientation
127,250,130,0,same orientation
170,250,143,0,inversed
147,250,166,0,inversed
110,250,105,450,same orientation
67,250,65,0,inversed
50,250,82,0,inversed
32,250,33,0,inversed
98,250,91,450,same orientation
139,250,174,0,inversed
159,250,171,450,same orientation
